1,10,8,0.2054458752532535
2,10,7,0.46590553131193635
3,10,8,0.12063126952402117
4,10,10,0.4129535230178435
5,10,8,0.28212072904857155
1,15,7,0.14259020744804066
2,15,8,0.18631628060559824
3,15,8,0.4356022032514245
4,15,8,0.4212618868556459
5,15,7,0.22536623607910414
1,20,8,0.3744506890313658
2,20,9,0.3867139007344631
3,20,7,0.3038689514128945
4,20,8,0.18141027435386722
5,20,6,0.16159338385992614
1,25,7,0.35216677962829357
2,25,7,0.44645167943083786
3,25,8,0.11610478360183528
4,25,7,0.47545945807860013
5,25,7,0.1943090392129518
